SEVERE: 2026-6-16 05:40:26: InmAreaDescObject.getAreaDescObjectFromUser(756): InmAreaDescObject getAreaDescObjectFromJar The fileDesc getAbsFileName() is not null AbsFileName = C:\U2000\client\client\bin\config.ini fileName = null areaName = LCT_Setting
SEVERE: 2026-6-16 05:40:26: InmAreaDescObject.getAreaDescObjectFromJar(797): InmAreaDescObject getAreaDescObjectFromJar The fileDesc getAbsFileName() is not null AbsFileName = C:\U2000\client\client\bin\config.ini fileName = null areaName = LCT_Setting
SEVERE: 2026-6-16 05:40:26: InmAreaDescObject.getDescObjectAgain(730): InmAreaDescObject.getDescObjectAgain() get InmDescObject is null  areaName = LCT_Setting fileName = null objectName = = LCTVersion
SEVERE: 2026-6-16 05:40:26: InmProfileFactory._getResourceURLByType(1285): Failed getResource URL from jar file. common/u2000/unitedmgr/profile/customizeboardcolor.ini
SEVERE: 2026-6-16 05:40:26: InmProfileFactory.getFileDescObjectFromUser(384): Failed getFileDescObjectFromUser(). filename= common\u2000\unitedmgr\profile\customizeboardcolor.ini
SEVERE: 2026-6-16 05:40:26: InmHelpMgr.getHelpIDRes(131): java.util.ResourceBundle.getObject(450)Can't find resource for bundle java.util.PropertyResourceBundle, key help_function_set_board_color

SEVERE: 2026-6-16 05:40:26: InmHelpMgr.getHelpIDRes(131): java.util.ResourceBundle.getString(407)Can't find resource for bundle java.util.PropertyResourceBundle, key help_function_set_board_color

SEVERE: 2026-6-16 05:40:26: InmHelpMgr.getHelpIDRes(131): com.swimap.iview.util.helpmanagement.HelpManager.getHelpID(868)Can't find resource for bundle java.util.PropertyResourceBundle, key help_function_set_board_color

SEVERE: 2026-6-16 05:40:26: InmHelpMgr.getHelpIDRes(131): com.huawei.imap12.utility.help.InmHelpMgr.getHelpIDRes(121)Can't find resource for bundle java.util.PropertyResourceBundle, key help_function_set_board_color

SEVERE: 2026-6-16 05:40:26: InmHelpMgr.getHelpIDRes(131): com.huawei.imap12.utility.help.InmHelpMgr.helpComponent(76)Can't find resource for bundle java.util.PropertyResourceBundle, key help_function_set_board_color

SEVERE: 2026-6-16 05:40:26: InmHelpMgr.getHelpIDRes(131): com.huawei.u2000.unitedmgr.preferences.boardcolor.UMBoardColorPanel.<init>(87)Can't find resource for bundle java.util.PropertyResourceBundle, key help_function_set_board_color

SEVERE: 2026-6-16 05:40:26: InmHelpMgr.getHelpIDRes(131): com.huawei.u2000.unitedmgr.preferences.boardcolor.UMBoardColorPanel.getInstance(105)Can't find resource for bundle java.util.PropertyResourceBundle, key help_function_set_board_color

